rank,title,year,topic_cluster,problem_claimed,mechanism_introduced,hidden_assumptions,variables_fixed,failure_modes_ignored,what_makes_less_novel,what_leaves_open,url
1,OpenVLA: An Open-Source Vision-Language-Action Model,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2406.09246
2,Multimodal fusion with vision-language-action models for robotic manipulation: A systematic review,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment. - Uncertainty estimates are calibrated after representation collapse.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1016/j.inffus.2025.104062
3,Language Conditioned Imitation Learning Over Unstructured Data,2021,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,https://doi.org/10.15607/rss.2021.xvii.047
4,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2503.14734
5,A Survey of Robot Intelligence with Large Language Models,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.3390/app14198868
6,"TinyVLA: Toward Fast, Data-Efficient Vision-Language-Action Models for Robotic Manipulation",2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/lra.2025.3544909
7,Keypoint Action Tokens Enable In-Context Imitation Learning in Robotics,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.15607/rss.2024.xx.096
8,RT-2: Vision-Language-Action Models for Generalizable Robotic Control: A Comprehensive Review,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.56028/aetr.15.1.1423.2025
9,Any-point Trajectory Modeling for Policy Learning,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.15607/rss.2024.xx.092
10,Language-Conditioned Imitation Learning for Robot Manipulation Tasks,2020,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,http://arxiv.org/abs/2010.12083
